STATION,DATE,TMAX,TMIN
BKM00014542,2001-08,30.13,15.4
BKM00014542,2001-09,22.26,9.77
BKM00014542,2001-10,22.14,8.3
BKM00014542,2001-11,8.84,
BKM00014542,2001-12,2.55,
BKM00014542,2002-01,6.38,
BKM00014542,2002-02,13.3,0.88
BKM00014542,2002-03,16.33,2.14
BKM00014542,2002-04,16.54,
BKM00014542,2002-05,24.82,11.31
BKM00014542,2002-06,28.03,13.76
BKM00014542,2002-07,28.88,15.66
BKM00014542,2002-08,27.85,
BKM00014542,2002-09,21.58,
BKM00014542,2002-10,18.77,
BKM00014542,2002-11,16.34,
BKM00014542,2002-12,5.79,
BKM00014542,2003-01,5.14,
BKM00014542,2003-02,4.11,
BKM00014542,2003-03,13.56,
BKM00014542,2003-04,17.77,4.06
BKM00014542,2003-05,27.17,11.57
BKM00014542,2003-06,31.09,16.65
BKM00014542,2003-07,30.61,15.58
BKM00014542,2003-08,33.47,16.65
BKM00014542,2003-09,24.24,
BKM00014542,2003-10,16.72,
BKM00014542,2003-11,15.33,
BKM00014542,2004-01,4.31,
BKM00014542,2004-02,8.78,
BKM00014542,2004-03,12.43,0.68
BKM00014542,2004-04,17.73,7.46
BKM00014542,2004-05,21.2,7.8
BKM00014542,2004-06,25.82,
BKM00014542,2004-07,27.47,15.75
BKM00014542,2004-08,29.52,
BKM00014542,2004-09,23.42,
BKM00014542,2004-10,22.12,
BKM00014542,2004-11,10.95,
BKM00014542,2004-12,5.69,
BKM00014542,2005-01,6.78,
BKM00014542,2005-02,3.62,
BKM00014542,2005-03,12.2,-2.55
BKM00014542,2005-04,18.42,5.44
BKM00014542,2005-05,22.78,
BKM00014542,2005-06,26.21,
BKM00014542,2005-07,27.93,
BKM00014542,2005-08,24.79,
BKM00014542,2005-09,23.3,12.57
BKM00014542,2005-10,17.27,
BKM00014542,2005-11,10.52,
BKM00014542,2005-12,5.96,
BKM00014542,2006-01,1.88,
BKM00014542,2006-02,7.04,
BKM00014542,2006-03,11.44,
BKM00014542,2006-04,19.08,
BKM00014542,2006-05,23.5,
BKM00014542,2006-06,26.27,14.58
BKM00014542,2006-07,29.53,16.1
BKM00014542,2006-08,26.1,
BKM00014542,2006-09,24.66,11.45
BKM00014542,2006-10,20.99,
BKM00014542,2006-11,15.81,2.34
BKM00014542,2006-12,9.47,
BKM00014542,2007-01,13.91,
BKM00014542,2007-02,12.88,
BKM00014542,2007-03,14.27,
BKM00014542,2007-04,22.69,5.19
BKM00014542,2007-05,24.88,
BKM00014542,2007-06,29.86,16.27
BKM00014542,2007-07,33.29,15.38
BKM00014542,2007-08,30.75,
BKM00014542,2007-09,,
BKM00014542,2007-10,15.28,
BKM00014542,2007-11,10,
BKM00014542,2007-12,3.31,
BKM00014542,2008-01,7.33,
BKM00014542,2008-02,12.43,-0.9
BKM00014542,2008-03,14.24,2.15
BKM00014542,2008-04,18.86,6.97
BKM00014542,2008-05,24.78,10.33
BKM00014542,2008-06,27.71,
BKM00014542,2008-07,29.58,16.23
BKM00014542,2008-08,30.73,15.26
BKM00014542,2008-09,21.1,
BKM00014542,2008-10,21.23,7.89
BKM00014542,2008-11,14.21,
BKM00014542,2008-12,7.11,
BKM00014542,2009-01,2.43,
BKM00014542,2009-02,,
BKM00014542,2009-04,20.76,8.04
BKM00014542,2009-05,26.28,11.99
BKM00014542,2009-06,26.6,13.98
BKM00014542,2009-07,31.34,15.93
BKM00014542,2009-08,31.39,
BKM00014542,2009-09,26.14,12.97
BKM00014542,2009-10,17.7,
BKM00014542,2009-11,15.65,
BKM00014542,2009-12,8.92,
BKM00014542,2010-01,2.58,
BKM00014542,2010-02,7.53,
BKM00014542,2010-03,13.51,
BKM00014542,2010-04,18.43,5.96
BKM00014542,2010-05,22.38,
BKM00014542,2010-06,25.68,14.91
BKM00014542,2010-07,29.68,17.16
BKM00014542,2010-08,29.38,15.95
BKM00014542,2010-09,,
BKM00014542,2010-10,15.19,
BKM00014542,2010-11,15.4,
BKM00014542,2010-12,5.14,
BKM00014542,2011-01,6.11,
BKM00014542,2011-02,6.56,
BKM00014542,2011-03,12.87,1.5
BKM00014542,2011-04,20.69,6.79
BKM00014542,2011-05,23.02,9.39
BKM00014542,2011-06,28.54,14.82
BKM00014542,2011-07,30.12,16.53
BKM00014542,2011-08,32.52,16.1
BKM00014542,2011-09,29.64,13.37
BKM00014542,2011-10,18.19,
BKM00014542,2011-11,7.85,
BKM00014542,2011-12,,
BKM00014542,2012-01,7.34,
BKM00014542,2012-02,2,
BKM00014542,2012-03,17.5,1.93
BKM00014542,2012-04,19.9,6.32
BKM00014542,2012-05,23.1,
BKM00014542,2012-06,30.35,
BKM00014542,2012-08,34.53,15.77
BKM00014542,2012-09,26.91,
BKM00014542,2012-10,19.47,
BKM00014542,2012-11,15.42,
BKM00014542,2012-12,5.51,
BKM00014542,2013-01,5.87,
BKM00014542,2013-02,5.51,
BKM00014542,2013-03,11.72,
BKM00014542,2013-04,20.9,
BKM00014542,2013-05,22.8,10.89
BKM00014542,2013-06,26.58,14.32
BKM00014542,2013-07,31.05,15.57
BKM00014542,2013-08,31.73,
BKM00014542,2013-09,23.87,
BKM00014542,2013-10,21.05,8.21
BKM00014542,2013-11,11.85,
BKM00014542,2013-12,8.69,
BKM00014542,2014-01,11.08,
BKM00014542,2014-02,11.47,
BKM00014542,2014-03,16.72,
BKM00014542,2014-04,19.24,8.22
BKM00014542,2014-05,22.27,9.88
BKM00014542,2014-06,27.09,14.14
BKM00014542,2014-07,28.37,
BKM00014542,2014-08,27.35,
BKM00014542,2014-09,21.74,
BKM00014542,2014-10,,
BKM00014542,2014-11,13.45,
BKM00014542,2015-01,,
BKM00014542,2015-02,6.25,
BKM00014542,2015-09,,
BKM00014542,2015-11,,
BKM00014542,2015-12,,
BKM00014542,2016-01,,
BKM00014542,2016-03,,
BKM00014542,2016-04,,
BKM00014542,2016-05,,10.33
BKM00014542,2016-06,,
BKM00014542,2016-10,,
BKM00014542,2016-11,,
BKM00014542,2016-12,,
BKM00014542,2017-02,,
BKM00014542,2017-03,,
BKM00014542,2017-04,,
BKM00014542,2017-05,,
BKM00014542,2017-06,,
BKM00014542,2017-07,,15.94
BKM00014542,2017-08,,16.36
BKM00014542,2017-10,,
BKM00014542,2017-11,,
BKM00014542,2017-12,,
BKM00014542,2018-01,,
BKM00014542,2018-02,,
BKM00014542,2018-03,,
