STATION,DATE,TMAX,TMIN
RIE00100818,1936-01,11.03,3.31
RIE00100818,1936-02,7.29,0.13
RIE00100818,1936-03,15.59,5.99
RIE00100818,1936-04,18.92,7.53
RIE00100818,1936-05,23.68,12.52
RIE00100818,1936-06,26.59,13.99
RIE00100818,1936-07,31.51,18.7
RIE00100818,1936-08,26.24,14.19
RIE00100818,1936-09,23.66,11.92
RIE00100818,1936-10,13.09,4.87
RIE00100818,1936-11,9.45,3.31
RIE00100818,1936-12,5.25,-0.64
RIE00100818,1937-01,1.97,-3.95
RIE00100818,1937-02,8.31,0.02
RIE00100818,1937-03,16.13,5.91
RIE00100818,1937-04,15.28,6.52
RIE00100818,1937-05,25.31,13.16
RIE00100818,1937-06,28.39,16.39
RIE00100818,1937-07,28.11,16.63
RIE00100818,1937-08,26.38,16.31
RIE00100818,1937-09,25.83,14.5
RIE00100818,1937-10,18.39,8.83
RIE00100818,1937-11,10.29,4.33
RIE00100818,1937-12,6.92,0.9
RIE00100818,1938-01,3.69,-3.72
RIE00100818,1938-02,6.07,-1.89
RIE00100818,1938-03,14.67,3.5
RIE00100818,1938-04,14.81,3.58
RIE00100818,1938-05,21.71,10.46
RIE00100818,1938-06,28.75,15.73
RIE00100818,1938-07,28.85,16.88
RIE00100818,1938-08,27.37,16
RIE00100818,1938-09,22.95,11.61
RIE00100818,1938-10,18.97,9.28
RIE00100818,1938-11,11.93,4.61
RIE00100818,1938-12,2.72,-1.74
RIE00100818,1939-01,7.82,0.48
RIE00100818,1939-02,7.09,-0.47
RIE00100818,1939-03,7.83,0.59
RIE00100818,1939-04,21.25,9.32
RIE00100818,1939-05,22.05,11.99
RIE00100818,1939-06,26.05,15.41
RIE00100818,1939-07,29.65,17.45
RIE00100818,1939-08,27.67,16.61
RIE00100818,1939-09,23.99,12.99
RIE00100818,1939-10,17.09,8.49
RIE00100818,1939-11,10.55,4.28
RIE00100818,1939-12,4.92,-1.59
RIE00100818,1940-01,-3.47,-9.67
RIE00100818,1940-02,1.19,-6.73
RIE00100818,1940-03,9.34,0.38
RIE00100818,1940-04,17.21,7.21
RIE00100818,1940-05,20.2,10.54
RIE00100818,1940-06,23.9,14.98
RIE00100818,1940-07,27.16,16.76
RIE00100818,1940-08,24.15,13.22
RIE00100818,1940-09,24.63,12.77
RIE00100818,1940-10,18.32,8.64
RIE00100818,1940-11,13.37,6.56
RIE00100818,1940-12,-0.86,-5.51
RIE00100818,1941-01,3.85,-2.03
RIE00100818,1941-02,8.76,1.75
RIE00100818,1941-03,13.27,3.2
RIE00100818,1941-04,16.92,7.59
RIE00100818,1941-05,19.49,10.06
RIE00100818,1941-06,25.08,13.91
RIE00100818,1941-07,26.02,15.83
RIE00100818,1941-08,27.24,16.03
RIE00100818,1941-09,19.25,9.43
RIE00100818,1941-10,15.67,6.45
RIE00100818,1941-11,,0.22
