STATION,DATE,TMAX,TMIN
BKM00014652,1897-10,1.72,-2.26
BKM00014652,1897-11,-1.38,-6.53
BKM00014652,1897-12,-3.86,-9.01
BKM00014652,1898-01,-1.86,-7.15
BKM00014652,1898-02,-6.38,-10.26
BKM00014652,1898-03,-2.28,-5.4
BKM00014652,1898-04,1.49,-2.21
BKM00014652,1898-05,5.91,1.6
BKM00014652,1898-06,11.32,5.46
BKM00014652,1898-07,11.14,5.49
BKM00014652,1898-08,11.35,6.31
BKM00014652,1898-09,7.92,3.68
BKM00014652,1898-10,6.35,1.99
BKM00014652,1898-11,3.12,-0.02
BKM00014652,1898-12,-2.55,-7.92
BKM00014652,1899-01,-2.06,-7.13
BKM00014652,1899-02,-2.49,-8.8
BKM00014652,1899-03,-1.84,-7.86
BKM00014652,1899-04,0.48,-3.87
BKM00014652,1899-05,5.39,1.18
BKM00014652,1899-06,7.96,2.89
BKM00014652,1899-07,9.93,5.99
BKM00014652,1899-08,10.12,5.77
BKM00014652,1899-09,8.64,4.05
BKM00014652,1899-10,5.28,0.23
BKM00014652,1899-11,-0.2,-4.59
BKM00014652,1899-12,-3.17,-8.19
BKM00014652,1900-01,-3.25,-7.46
BKM00014652,1900-02,-1.73,-5.91
BKM00014652,1900-03,-5.9,-11.12
BKM00014652,1900-04,-1.72,-4.14
BKM00014652,1900-05,4.48,1.31
BKM00014652,1900-06,9.87,5.34
BKM00014652,1900-07,11.78,6.77
BKM00014652,1900-08,10.92,6.02
BKM00014652,1900-09,9.49,4.82
BKM00014652,1900-10,7.34,2.46
BKM00014652,1900-11,2.58,0.02
BKM00014652,1900-12,-2.33,-6.86
BKM00014652,1901-01,-11.24,-19.02
BKM00014652,1901-02,-12.52,-17.38
BKM00014652,1901-03,-4.07,-8.35
BKM00014652,1901-04,0.26,-3.52
BKM00014652,1901-05,4.19,0.81
BKM00014652,1901-06,8.75,4.66
BKM00014652,1901-07,12.09,7.55
BKM00014652,1901-08,10.45,5.8
BKM00014652,1901-09,8.88,4.93
BKM00014652,1901-10,4.2,0.95
BKM00014652,1901-11,-2.59,-6.76
BKM00014652,1901-12,-2.08,-5.91
BKM00014652,1902-01,-5.32,-9.66
BKM00014652,1902-02,-2.57,-4.68
BKM00014652,1902-03,-4.93,-9.22
BKM00014652,1902-04,1.03,-3.05
BKM00014652,1902-05,-0.28,-3.68
BKM00014652,1902-06,7.49,3.52
BKM00014652,1902-07,13.04,6.19
BKM00014652,1902-08,13.75,7.5
BKM00014652,1902-09,10.24,4.86
BKM00014652,1902-10,4.5,0.78
BKM00014652,1902-11,-1.93,-5.64
BKM00014652,1902-12,-5.48,-10.48
BKM00014652,1903-01,-5.31,-9.28
BKM00014652,1903-02,-3.75,-9.46
BKM00014652,1903-03,-3.24,-6.6
BKM00014652,1903-04,-4.59,-8.51
BKM00014652,1903-05,4.13,0.22
BKM00014652,1903-06,7.23,3
BKM00014652,1903-07,11.26,5.57
BKM00014652,1903-08,14.05,7.07
BKM00014652,1903-09,9.69,4.81
BKM00014652,1903-10,4.65,-0.25
BKM00014652,1903-11,-1.6,-6.02
BKM00014652,1903-12,-2.63,-5.31
BKM00014652,1904-01,-5.31,-9.04
BKM00014652,1904-02,-4.16,-8.05
BKM00014652,1904-03,-3.45,-6.24
BKM00014652,1904-04,1.15,-2.98
BKM00014652,1904-05,6.05,1.5
BKM00014652,1904-06,10.33,4.93
BKM00014652,1904-07,12.8,7.63
BKM00014652,1904-08,13.14,7.29
BKM00014652,1904-09,5.49,1.96
BKM00014652,1904-10,3.08,-0.01
BKM00014652,1904-11,-3.6,-9.13
BKM00014652,1904-12,-4.87,-9.71
BKM00014652,1905-01,-11.31,-18.49
BKM00014652,1905-02,-10.74,-14.74
BKM00014652,1905-03,-6.35,-9.49
BKM00014652,1905-04,-2.16,-6.43
BKM00014652,1905-05,4.69,0.74
BKM00014652,1905-06,8.96,4.84
BKM00014652,1905-07,13.37,8
BKM00014652,1905-08,14.11,8.62
BKM00014652,1905-09,12.36,6.65
BKM00014652,1905-10,0.55,-4.29
BKM00014652,1905-11,1.07,-2.45
BKM00014652,1905-12,-3.67,-8.54
BKM00014652,1906-01,-5.47,-10.65
BKM00014652,1906-02,-6.18,-9.45
BKM00014652,1906-03,-1.73,-8.26
BKM00014652,1906-04,-0.72,-4.04
BKM00014652,1906-05,3.55,0.66
BKM00014652,1906-06,7.81,3.9
BKM00014652,1906-07,11.88,7.41
BKM00014652,1906-08,11.71,5.93
BKM00014652,1906-09,7.19,2.26
BKM00014652,1906-10,4.73,0.5
BKM00014652,1906-11,0.69,-3.95
BKM00014652,1906-12,-5.89,-10.02
BKM00014652,1907-01,-8.07,-14.37
BKM00014652,1907-02,-5.31,-9.85
BKM00014652,1907-03,-8.88,-12.98
BKM00014652,1907-04,-2.19,-5.02
BKM00014652,1907-05,8.25,3.47
BKM00014652,1907-06,10.59,5.46
BKM00014652,1907-07,11.64,6.38
BKM00014652,1907-08,13.8,7.49
BKM00014652,1907-09,9.11,3.69
BKM00014652,1907-10,8.13,4.42
BKM00014652,1907-11,0.48,-3.88
BKM00014652,1907-12,-2.28,-6.2
BKM00014652,1908-01,-4.38,-9.68
BKM00014652,1908-02,-5.88,-10.91
BKM00014652,1908-03,-4.06,-7.9
BKM00014652,1908-04,-1.4,-4.97
BKM00014652,1908-05,8.76,3.77
BKM00014652,1908-06,11.82,6.28
BKM00014652,1908-07,10.57,5.46
BKM00014652,1908-08,12.3,6.46
BKM00014652,1908-09,7.02,2
BKM00014652,1908-10,5.17,1.3
BKM00014652,1908-11,-3.51,-7.83
BKM00014652,1908-12,-4.08,-7.51
BKM00014652,1909-01,-6.92,-10.89
BKM00014652,1909-02,0.45,-8.92
BKM00014652,1909-03,-2.94,-6.35
BKM00014652,1909-04,0.8,-2.67
BKM00014652,1909-05,5.11,0.26
BKM00014652,1909-06,8.82,3.32
BKM00014652,1909-07,11.45,6.15
BKM00014652,1909-08,12.67,7.42
BKM00014652,1909-09,8.97,5.16
BKM00014652,1909-10,5.49,1.87
BKM00014652,1909-11,-2.01,-5.77
BKM00014652,1909-12,-1.47,-5.14
BKM00014652,1910-01,-5.42,-9.69
BKM00014652,1910-02,-2.86,-5.75
BKM00014652,1910-03,-4.17,-7.25
BKM00014652,1910-04,-0.07,-2.83
BKM00014652,1910-05,4.95,1.38
BKM00014652,1910-06,9.12,4.65
BKM00014652,1910-07,11.23,5.24
BKM00014652,1910-08,12.62,7.26
BKM00014652,1910-09,6.41,2.64
BKM00014652,1910-10,3.59,-0.23
BKM00014652,1910-11,-2.42,-6.53
BKM00014652,1910-12,-2.22,-4.39
BKM00014652,1911-01,-8.09,-12.14
BKM00014652,1911-02,-11.59,-16.96
BKM00014652,1911-03,-5.46,-8.66
BKM00014652,1911-04,-1.46,-5.21
BKM00014652,1911-05,4.69,0.94
BKM00014652,1911-06,9.79,4.13
BKM00014652,1911-07,11.61,6.77
BKM00014652,1911-08,12.06,6.93
BKM00014652,1911-09,8.11,3.32
BKM00014652,1911-10,6.43,1.98
BKM00014652,1911-11,2.51,-0.61
BKM00014652,1911-12,-2.45,-6.53
BKM00014652,1912-01,-6.13,-11.51
BKM00014652,1912-02,-3.08,-6.45
BKM00014652,1912-03,-0.93,-4.21
BKM00014652,1912-04,-2.31,-6.71
BKM00014652,1912-05,5.12,0.67
BKM00014652,1912-06,10.55,4.92
BKM00014652,1912-07,12.16,6.95
BKM00014652,1912-08,11.5,5.37
BKM00014652,1912-09,3.89,-0.11
BKM00014652,1912-10,4.41,-0.04
BKM00014652,1912-11,-3.63,-7.51
BKM00014652,1912-12,-2.31,-6.26
BKM00014652,1913-01,-4.82,-8.82
BKM00014652,1913-02,-8.04,-11.88
BKM00014652,1913-03,-2.03,-5.92
BKM00014652,1913-04,0.68,-3.35
BKM00014652,1913-05,4.11,-0.08
BKM00014652,1913-06,9.05,4.26
BKM00014652,1913-07,8.54,3.79
BKM00014652,1913-08,9.06,4.71
BKM00014652,1913-09,7.94,3.78
BKM00014652,1913-10,5.59,2.14
BKM00014652,1913-11,1.48,-2.19
BKM00014652,1913-12,-4.39,-8.46
BKM00014652,1952-01,-4.74,-9.63
BKM00014652,1952-02,-5.88,-11.07
BKM00014652,1952-03,-3.58,-9
BKM00014652,1952-04,5.22,-0.32
BKM00014652,1952-05,5.23,-0.54
BKM00014652,1952-06,11.7,4.75
BKM00014652,1952-07,14.72,7.74
BKM00014652,1952-08,17.63,9.86
BKM00014652,1952-09,10.15,4.3
BKM00014652,1952-10,4.35,-0.77
BKM00014652,1952-11,0.63,-4.31
BKM00014652,1952-12,-0.7,-5.31
BKM00014652,1953-01,-5.31,-9.6
BKM00014652,1953-02,-4.83,-10.82
BKM00014652,1953-03,-4.48,-9.09
BKM00014652,1953-04,2.74,-1.78
BKM00014652,1953-05,4.97,-0.11
BKM00014652,1953-06,12.77,6.24
BKM00014652,1953-07,15.72,8.72
BKM00014652,1953-08,12.73,5.56
BKM00014652,1953-09,12.07,5.68
BKM00014652,1953-10,6.86,3.23
BKM00014652,1953-11,1.05,-3.43
BKM00014652,1953-12,-1.08,-4.35
BKM00014652,1954-01,-6.55,-13.26
BKM00014652,1954-02,-4.56,-11.09
BKM00014652,1954-03,-0.05,-3.42
BKM00014652,1954-04,-0.58,-4.52
BKM00014652,1954-05,3.95,0.5
BKM00014652,1954-06,12.32,7.75
BKM00014652,1954-07,12.46,6.37
BKM00014652,1954-08,13.53,7.48
BKM00014652,1954-09,11.53,6.53
BKM00014652,1954-10,3.68,-0.69
