STATION,DATE,TMAX,TMIN
BKM00014648,2001-08,35.76,21.34
BKM00014648,2001-09,24.13,12.54
BKM00014648,2001-10,24.86,
BKM00014648,2001-11,13.16,
BKM00014648,2001-12,6.06,
BKM00014648,2002-01,8.48,1.29
BKM00014648,2002-02,15.28,4.98
BKM00014648,2002-03,18.45,7.51
BKM00014648,2002-04,20.18,9.04
BKM00014648,2002-05,25.87,13.55
BKM00014648,2002-06,30.18,18.68
BKM00014648,2002-07,32.29,20.43
BKM00014648,2002-08,30.16,18.67
BKM00014648,2002-10,21.73,
BKM00014648,2002-11,16.99,
BKM00014648,2002-12,10.02,
BKM00014648,2003-01,10.41,
BKM00014648,2003-02,8.46,-0.03
BKM00014648,2003-03,16.56,5
BKM00014648,2003-04,20.14,
BKM00014648,2003-05,29.69,15.81
BKM00014648,2003-06,33.73,19.84
BKM00014648,2003-07,34.39,20.79
BKM00014648,2003-08,36.45,22.76
BKM00014648,2003-10,19.58,
BKM00014648,2003-11,16.06,
BKM00014648,2004-01,7.8,
BKM00014648,2004-02,11.38,
BKM00014648,2004-03,15.27,
BKM00014648,2004-04,19.81,
BKM00014648,2004-05,21.8,11.52
BKM00014648,2004-06,29.13,16.72
BKM00014648,2004-07,32.62,19.71
BKM00014648,2004-08,31.13,18.11
BKM00014648,2004-09,27.2,16.25
BKM00014648,2004-10,22.98,13.36
BKM00014648,2004-11,13.93,
BKM00014648,2004-12,11.66,
BKM00014648,2005-01,8.26,0.76
BKM00014648,2005-02,7.43,
BKM00014648,2005-03,14.63,4.75
BKM00014648,2005-04,19.02,8.7
BKM00014648,2005-05,26.02,14.42
BKM00014648,2005-06,29.42,17.22
BKM00014648,2005-07,32.05,19.45
BKM00014648,2005-08,29.16,
BKM00014648,2005-09,26.27,16.81
BKM00014648,2005-10,20.46,11.87
BKM00014648,2005-11,14.53,
BKM00014648,2005-12,9.43,
BKM00014648,2006-01,7.74,
BKM00014648,2006-02,11.21,2.99
BKM00014648,2006-03,13.54,
BKM00014648,2006-04,20.91,9.93
BKM00014648,2006-05,26,12.62
BKM00014648,2006-06,29.79,17.43
BKM00014648,2006-07,34.2,21.62
BKM00014648,2006-08,31.02,
BKM00014648,2006-09,27.57,16.46
BKM00014648,2006-10,23.54,12.7
BKM00014648,2006-11,14.93,4.87
BKM00014648,2006-12,11.26,4.21
BKM00014648,2007-01,11.91,
BKM00014648,2007-02,13.63,
BKM00014648,2007-03,16.09,8.29
BKM00014648,2007-04,24.95,9.84
BKM00014648,2007-05,26.58,14.88
BKM00014648,2007-06,31.8,18.03
BKM00014648,2007-07,36.05,20.15
BKM00014648,2007-08,34.6,
BKM00014648,2007-09,25.86,13.89
BKM00014648,2007-10,20.25,11.4
BKM00014648,2007-11,12.44,
BKM00014648,2007-12,9.32,
BKM00014648,2008-01,11.08,4.33
BKM00014648,2008-02,13.8,3.9
BKM00014648,2008-03,15.98,
BKM00014648,2008-04,19.6,9.76
BKM00014648,2008-05,26.75,13.8
BKM00014648,2008-06,29.93,18.14
BKM00014648,2008-07,33.63,20.1
BKM00014648,2008-08,35.98,20.83
BKM00014648,2008-09,25.95,15.1
BKM00014648,2008-10,23.66,
BKM00014648,2008-11,17.09,
BKM00014648,2008-12,11.33,
BKM00014648,2009-01,9.47,
BKM00014648,2009-02,9.23,
BKM00014648,2009-03,14.13,5.98
BKM00014648,2009-04,21.69,11.13
BKM00014648,2009-05,28.41,14.78
BKM00014648,2009-06,28.18,16.56
BKM00014648,2009-07,33.31,19.92
BKM00014648,2009-08,34.01,21.2
BKM00014648,2009-09,28.92,17.39
BKM00014648,2009-10,19.9,10.66
BKM00014648,2009-11,15.87,
BKM00014648,2009-12,10.23,
BKM00014648,2010-01,9.09,
BKM00014648,2010-02,9.72,
BKM00014648,2010-03,14.74,4.76
BKM00014648,2010-04,20.83,10.09
BKM00014648,2010-05,23.44,12.6
BKM00014648,2010-06,28.99,16.89
BKM00014648,2010-07,33.97,21.19
BKM00014648,2010-08,34.73,20.07
BKM00014648,2010-09,26.74,15.41
BKM00014648,2010-10,18.96,10.73
BKM00014648,2010-11,16.12,
BKM00014648,2010-12,9.43,
BKM00014648,2011-01,9.46,3.1
BKM00014648,2011-02,12.83,
BKM00014648,2011-03,14.96,5.74
BKM00014648,2011-04,22.21,10.41
BKM00014648,2011-05,25.56,14.23
BKM00014648,2011-06,30.71,18.35
BKM00014648,2011-07,31.8,18.93
BKM00014648,2011-08,34.35,20.67
BKM00014648,2011-09,32.53,19.16
BKM00014648,2011-10,20.79,11.57
BKM00014648,2011-11,15.57,6.28
BKM00014648,2011-12,10.6,
BKM00014648,2012-01,8.25,
BKM00014648,2012-02,5.53,
BKM00014648,2012-03,19.54,8.05
BKM00014648,2012-04,18.1,
BKM00014648,2012-05,24.71,12.33
BKM00014648,2012-06,32.73,18.78
BKM00014648,2012-07,36,
BKM00014648,2012-08,36.76,22.05
BKM00014648,2012-09,30.02,16.83
BKM00014648,2012-10,22.98,
BKM00014648,2012-11,16.93,9.94
BKM00014648,2012-12,8.97,
BKM00014648,2013-01,9.71,
BKM00014648,2013-02,11.21,
BKM00014648,2013-03,13.4,
BKM00014648,2013-04,22.11,10.49
BKM00014648,2013-05,24.31,13.16
BKM00014648,2013-06,28.78,17.29
BKM00014648,2013-07,33.74,20.95
BKM00014648,2013-08,35.02,21.64
BKM00014648,2013-09,27.07,15.14
BKM00014648,2013-10,21.96,11.89
BKM00014648,2013-11,15.92,
BKM00014648,2013-12,11.53,
BKM00014648,2014-01,12.55,
BKM00014648,2014-02,14.56,
BKM00014648,2014-03,17.86,7.44
BKM00014648,2014-04,19.71,10.51
BKM00014648,2014-05,23.3,12.54
BKM00014648,2014-06,28.67,
BKM00014648,2014-07,29.91,
BKM00014648,2014-08,31.41,
BKM00014648,2014-09,24.98,
BKM00014648,2014-10,22.32,
BKM00014648,2014-11,16.9,
BKM00014648,2014-12,10.84,
BKM00014648,2015-01,9.4,
BKM00014648,2015-02,11.3,
BKM00014648,2015-04,19.3,8.3
BKM00014648,2015-11,,
BKM00014648,2015-12,,
BKM00014648,2016-01,,
BKM00014648,2016-03,,
BKM00014648,2016-04,,
