STATION,DATE,TMAX,TMIN
BKM00014657,2008-08,,22.25
BKM00014657,2008-10,,14.58
BKM00014657,2008-11,,11.13
BKM00014657,2008-12,,7.04
BKM00014657,2009-01,,6.79
BKM00014657,2009-03,,
BKM00014657,2009-04,,12.32
BKM00014657,2009-05,,16.78
BKM00014657,2009-08,,19.97
BKM00014657,2009-09,,18.27
BKM00014657,2009-10,,
BKM00014657,2010-08,,21.71
BKM00014657,2010-09,,17.77
BKM00014657,2010-11,,
BKM00014657,2010-12,,
BKM00014657,2011-01,,
BKM00014657,2011-02,,
BKM00014657,2011-03,,
BKM00014657,2011-04,,12.12
BKM00014657,2011-05,,15.86
BKM00014657,2011-06,,20.67
BKM00014657,2011-07,,21.68
BKM00014657,2011-08,,22.83
BKM00014657,2011-09,,21.63
BKM00014657,2011-10,,14.55
BKM00014657,2011-11,,
BKM00014657,2011-12,,
BKM00014657,2012-01,,
BKM00014657,2012-03,,
BKM00014657,2012-08,33.34,
BKM00014657,2012-09,28.64,
BKM00014657,2012-10,22.83,
BKM00014657,2012-11,18.7,
BKM00014657,2013-04,20.74,
BKM00014657,2013-06,26.32,
BKM00014657,2013-07,31.13,22.15
BKM00014657,2013-08,32.26,22.68
BKM00014657,2013-09,25.97,17.28
BKM00014657,2013-10,21.93,14.51
BKM00014657,2013-11,17.43,
BKM00014657,2013-12,13.56,
BKM00014657,2014-01,,
BKM00014657,2014-02,15.51,
BKM00014657,2014-03,16.82,9.05
BKM00014657,2014-05,,
BKM00014657,2014-06,26.7,
BKM00014657,2014-07,28.64,
BKM00014657,2014-08,29.75,
BKM00014657,2014-09,24.68,16.78
BKM00014657,2014-10,21.98,14.8
BKM00014657,2014-11,18.11,
BKM00014657,2015-04,19.22,
BKM00014657,2015-06,28.58,
BKM00014657,2015-07,34.25,23.6
BKM00014657,2015-08,32.36,
BKM00014657,2015-09,28.21,19.24
BKM00014657,2015-10,21.64,
BKM00014657,2015-11,17.1,
BKM00014657,2015-12,13.9,
BKM00014657,2016-01,11.97,
BKM00014657,2016-03,16.1,
BKM00014657,2016-04,21.31,
BKM00014657,2016-05,22.45,
BKM00014657,2016-06,27.26,
BKM00014657,2016-07,31.58,22.62
BKM00014657,2016-08,30.71,21.46
BKM00014657,2016-09,27.2,17.84
BKM00014657,2016-10,20.24,
BKM00014657,2016-12,12.26,
BKM00014657,2017-01,8.66,
BKM00014657,2017-03,17.96,
BKM00014657,2017-04,19.53,
BKM00014657,2017-05,24.76,
BKM00014657,2017-06,29.8,20.87
BKM00014657,2017-07,32.37,22.05
BKM00014657,2017-08,33.77,
BKM00014657,2017-09,25.35,
