STATION,DATE,TMAX,TMIN
HR000142360,1881-01,-1.03,-6.26
HR000142360,1881-02,2.88,-2.93
HR000142360,1881-03,10.69,3.06
HR000142360,1881-04,13.14,5.9
HR000142360,1881-05,20.25,10.3
HR000142360,1881-06,24.28,13.74
HR000142360,1881-07,28.64,16.96
HR000142360,1881-08,26.73,15.39
HR000142360,1881-09,19.91,11.63
HR000142360,1881-10,10.15,5.89
HR000142360,1881-11,7.98,1.21
HR000142360,1881-12,3.11,-0.74
HR000142360,1882-01,3.79,-1.98
HR000142360,1882-02,7.83,-1.54
HR000142360,1882-03,15.59,5.17
HR000142360,1882-04,16.19,6.41
HR000142360,1882-05,21.89,10.99
HR000142360,1882-06,23,12.38
HR000142360,1882-07,25.9,15.62
HR000142360,1882-08,23.41,13.58
HR000142360,1882-09,20.58,12.71
HR000142360,1882-10,15.98,9.65
HR000142360,1882-11,10.48,3.96
HR000142360,1882-12,6.31,1.72
HR000142360,1883-01,1.57,-3.59
HR000142360,1883-02,6.07,-0.11
HR000142360,1883-03,5.96,-1.53
HR000142360,1883-04,14.21,5.34
HR000142360,1883-05,21.54,11.67
HR000142360,1883-06,24.73,14.45
HR000142360,1883-07,26.69,15.09
HR000142360,1883-08,25.3,15
HR000142360,1883-09,20.55,12.36
HR000142360,1883-10,15.02,8.37
HR000142360,1883-11,8.11,2.54
HR000142360,1883-12,2.3,-2.78
HR000142360,1884-01,4.06,-2.34
HR000142360,1884-02,7.33,-0.12
HR000142360,1884-03,11.51,3.85
HR000142360,1884-04,16.21,6.89
HR000142360,1884-05,22.86,11.39
HR000142360,1884-06,20.63,12.2
HR000142360,1884-07,26.77,16.81
HR000142360,1884-08,24.08,14.86
HR000142360,1884-09,20.88,12.73
HR000142360,1884-10,13.85,6.4
HR000142360,1884-11,5.57,-0.05
HR000142360,1884-12,5.15,-0.39
HR000142360,1885-01,1.41,-3.04
HR000142360,1885-02,8.38,1.38
HR000142360,1885-03,11.58,3.02
HR000142360,1885-04,17.91,8.2
HR000142360,1885-05,20.07,10.23
HR000142360,1885-06,25.56,14.59
HR000142360,1885-07,28.51,17.36
HR000142360,1885-08,25.14,15
HR000142360,1885-09,23.01,12.96
HR000142360,1885-10,14.95,8
HR000142360,1885-11,9.15,5.48
HR000142360,1885-12,2.16,-3.16
HR000142360,1886-01,2.43,-2.32
HR000142360,1886-02,2.25,-1.64
HR000142360,1886-03,7.72,-0.77
HR000142360,1886-04,17.74,7.7
HR000142360,1886-05,21.41,10.66
HR000142360,1886-06,23.36,14.72
HR000142360,1886-07,25.81,16.64
HR000142360,1886-08,,
HR000142360,1886-09,23.55,13.96
HR000142360,1886-10,16.22,8.68
HR000142360,1886-11,9.98,4.08
HR000142360,1886-12,6.84,1.32
HR000142360,1887-01,1.1,-4.83
HR000142360,1887-02,1.07,-4.58
HR000142360,1887-03,8.45,0.39
HR000142360,1887-04,16.54,6.73
HR000142360,1887-05,19.66,11.05
HR000142360,1887-06,23.9,14.14
HR000142360,1887-07,29.48,18.08
HR000142360,1887-08,26.5,15.79
HR000142360,1887-09,23.65,13.55
HR000142360,1887-10,12.1,6.04
HR000142360,1887-11,9.64,4.44
HR000142360,1887-12,2.66,-2.46
HR000142360,1888-01,-0.95,-8.22
HR000142360,1888-02,1.8,-4.21
HR000142360,1888-03,10.29,2.01
HR000142360,1888-04,15.14,6.5
HR000142360,1888-05,20.97,10.79
HR000142360,1888-06,25.12,15.16
HR000142360,1888-07,24.16,15.13
HR000142360,1888-08,25.19,15.33
HR000142360,1888-09,21.17,13.24
HR000142360,1888-10,14.05,6.24
HR000142360,1888-11,5.52,-0.66
HR000142360,1888-12,4.31,-1.13
HR000142360,1889-01,-0.27,-5.07
HR000142360,1889-02,2.88,-4.31
HR000142360,1889-03,7.68,0.85
HR000142360,1889-04,15.21,6.51
HR000142360,1889-05,23.4,14.3
HR000142360,1889-06,25.41,16.52
HR000142360,1889-07,25.28,15.94
HR000142360,1889-08,24.36,15.9
HR000142360,1889-09,17.45,10.43
HR000142360,1889-10,16.25,9.72
HR000142360,1889-11,7.42,2.34
HR000142360,1889-12,0.21,-3.03
HR000142360,1890-01,4.88,-0.14
HR000142360,1890-02,1.91,-2.97
HR000142360,1890-03,11.71,2.55
HR000142360,1890-04,15.39,7.07
HR000142360,1890-05,22.24,12.47
HR000142360,1890-06,22.81,13.38
HR000142360,1890-07,25.71,16.47
HR000142360,1890-08,28.27,17.73
HR000142360,1890-09,19.6,11.45
HR000142360,1890-10,13.93,4.89
HR000142360,1890-11,7.55,2.68
HR000142360,1890-12,-1.5,-5.46
HR000142360,1891-01,-3.43,-10.12
